Suburb,PostalCode
Aranda,2614
Belconnen,2617
Bruce,2617
Charnwood,2615
Cook,2614
Dunlop,2615
Evatt,2617
Florey,2615
Flynn,2615
Fraser,2615
Giralang,2617
Hall,2618
Hawker,2614
Higgins,2615
Holt,2615
Jamison Centre,2614
Kaleen,2617
Kinlyside,2913
Kippax,2615
Latham,2615
Lawson,2617
Macgregor,2615
Macquarie,2614
Mckellar,2617
Melba,2615
Page,2614
Scullin,2614
Spence,2615
University Of Canberra,2617
Weetangera,2614
Amaroo,2914
Bonner,2914
Casey,2913
Crace,2911
Forde,2914
Franklin,2913
Ginninderra Village,2913
Gungahlin,2912
Harrison,2914
Mitchell,2911
Moncrieff,2914
Ngunnawal,2913
Nicholls,2913
Palmerston,2913
Taylor,2913
Acton,2601
Ainslie,2602
Black Mountain,2601
Braddon,2612
Campbell,2612
Canberra,2601
City,2601
Crace,2911
Dickson,2602
Downer,2602
Hackett,2602
Lyneham,2602
Mitchell,2911
O'Connor,2602
Reid,2612
Turner,2612
Watson,2602
Barton,2600
Belconnen Dc,2617
Canberra,2600
Canberra Airport,2609
Canberra International Airport,2609
Capital Hill,2600
Causeway,2604
Deakin,2600
Deakin West,2600
Duntroon,2600
Fairbairn Raaf,2600
Forrest,2603
Fyshwick,2609
Griffith,2603
Harman,2600
Hmas Harman,2600
Kingston,2604
Majura,2609
Manuka,2603
Narrabundah,2604
Parkes,2600
Parliament House,2600
Pialligo,2609
Red Hill,2603
Russell,2600
Russell Hill,2600
Symonston,2609
Yarralumla,2600
Banks,2906
Beard,2620
Bonython,2905
Calwell,2905
Chisholm,2905
Conder,2906
Erindale Centre,2903
Fadden,2904
Gilmore,2905
Gordon,2906
Gowrie,2904
Greenway,2900
Hume,2620
Isabella Plains,2905
Kambah,2902
Kambah Village,2902
Kowen Forest,2620
Macarthur,2904
Monash,2904
Oaks Estate,2620
Oxley,2903
Richardson,2905
Tharwa,2620
Theodore,2905
Top Naas,2620
Tuggeranong,2900
Wanniassa,2903
Chapman,2611
Duffy,2611
Fisher,2611
Holder,2611
Mount Stromlo,2611
Pierces Creek,2611
Rivett,2611
Stirling,2611
Uriarra Forest,2611
Waramanga,2611
Weston,2611
Weston Creek,2611
Chifley,2606
Curtin,2605
Farrer,2607
Garran,2605
Hughes,2605
Isaacs,2607
Lyons,2606
Mawson,2607
O'Malley,260
Pearce,2607
Phillip,2606
Swinger Hill,2606
Torrens,2607
Woden,2606
